AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00003371A|L44.1|PROFILAXIS OSTEOPOROSIS POSTMENOPAUSICA|Y|
B00003380A|L51.1|ARTICULACION ASPIRACION EN TERAPEUTICA|Y|
B00003385A|L54.1|AJUSTE E INSERCION COLLARIN CERVICAL|Y|
B00003386A|L54.10|ARTRODESIS|Y|
B00003390A|L54.14|ESCAYOLA FRACTURA|Y|
B00003392A|L54.16|FIJACION, SOPORTE (EX.) ARTICULAR|Y|
B00003394A|L54.18|REDUCCION Y FIJACION DE FRACTURA DESPLAZADA|Y|
B00003396A|L54.2|AJUSTE E INSERCION MIEMBROS ARTIFICIALES|Y|
B00003397A|L54.20|REPARACION Y FIJAC. NC DISLOCACION|Y|
B00003398A|L54.21|REPARACION Y FIJAC. NC FRACTURA|Y|
B00003399A|L54.22|SOPORTE ARTICULACION|Y|
B00003401A|L54.24|VENDA ADHESIVA, PARA ESGUINCES Y DISTENS.|Y|
B00003402A|L54.25|PROTESIS CADERA|Y|
B00003403A|L54.3|AJUSTE E INSERCION SOPORTES (ESPALDA,PIERNA,CUELLO)|Y|
B00003404A|L54.4|AJUSTE E INSERCION TIRANTES (ESPALDA,PIERNA,CUELLO)|Y|
B00003405A|L54.5|AJUSTE E INSERCION ZAPATOS ORTOPEDICOS|Y|
B00003407A|L54.7|APLICACION FERULA|Y|
B00003408A|L54.8|APLICACION SOPORTE CERVICAL|Y|
B00003409A|L54.9|ARTICULACION FIJACION DE|Y|
B00003412A|L55.1|ARTICULACION INYECCION EN|Y|
B00003413A|L55.2|INFILTRACION ARTICULACION|Y|
B00003414A|L55.3|INFILTRACION TENDON|Y|
B00003418A|L57.1|AJUSTE E INSERCION VERTEBRA SUBLUXADA|Y|
B00003419A|L57.2|ARTICULACION MANIPULACION DE|Y|
B00003420A|L57.3|REHABILITACION ESPALDA|Y|
B00003435A|L70.1|ABSCESO ARTICULAR|Y|ABSCESO ARTICULACION
B00003436A|L70.10|PERIOSTIO (INFECCION)|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003437A|L70.11|ARTRITIS INFECCIOSA|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003438A|L70.12|PERIOSTEITIS|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003439A|L70.13|ENF. INVASIVA H. INFL (ARTRITIS)|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003440A|L70.14|ARTROSI/ARTRITIS SEPTICA|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003441A|L70.15|ARTROSIS/ARTRITIS PIOGENA|Y|ARTRITIS PIOGENA
B00003442A|L70.2|ABSCESO OSEO|Y|ABSCESO OSEO
B00003443A|L70.3|BORNHOLM, ENF. DE|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003444A|L70.4|INFECCION, APARATO LOCOMOTOR NC|Y|INFECCION LOCALIZADA DEL APARATO LOCOMOTOR
B00003445A|L70.5|INFECCION, OSEA (INESPECIFICA) NC|Y|OSTEOMIELITIS
B00003446A|L70.6|OSTEITIS PIOGENA|Y|OSTEOMIELITIS
B00003447A|L70.7|OSTEOMIELITIS|Y|OSTEOMIELITIS
B00003448A|L70.8|OSTEOMIELITIS AGUDA|Y|OSTEOMIELITIS
B00003449A|L70.9|OSTEOMIELITIS CRONICA|Y|OSTEOMIELITIS
B00003452A|L71.1|NEOPLASIA MALIGNA HUESO|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00061752A|L71.12|MIXOFIBROSARCOMA|Y|FIBROSARCOMA
B00069873A|L71.13|SARCOMA|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003453A|L71.2|NEOPLASIA MALIGNA LIGAMENTOS|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003454A|L71.3|NEOPLASIA MALIGNA MUSCULO|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003455A|L71.4|NEOPLASIA MALIGNA SISTEMA LOCOMOTOR (CU. PARTE)|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00076078A|L71.5|NEOPLASIA MALIGNA TEJIDOS CONECTIVOS Y OTROS TEJIDOS BLANDOS|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003457A|L71.6|NEOPLASIA MALIGNA TENDON|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003458A|L71.7|OSTEOSARCOMA|Y|OSTEOSARCOMA
B00003459A|L71.8|SARCOMA DE EWING|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003460A|L71.9|CONDROSARCOMA|Y|NEOPLASIA M DEL APARATO LOCOMOTOR
B00003463A|L72.1|COLLES, FRACTURA DE|Y|FRACTURA DE COLLES
B00003464A|L72.2|FRACTURA CUBITO|Y|FRACTURA CUBITO
B00003465A|L72.3|FRACTURA RADIO|Y|FRACTURA RADIO
B00003466A|L72.4|FRACTURA DE CUBITO Y RADIO|Y|FRACTURA DE COLLES
B00003467A|L72.5|FRACTURA METAFISIS RADIO|Y|FRACTURA RADIO
B00003468A|L72.6|FRACTURA-LUXACION DE GALEAZZI|Y|FRACTURA DE RADIO Y CUBITO
B00003469A|L72.7|FRACTURA-LUXACION DE MONTEGGIA|Y|FRACTURA DE RADIO Y CUBITO
B00003470A|L72.8|FISURA RADIO|Y|FRACTURA RADIO
B00003471A|L72.9|FRACTURA CODO|Y|FRACTURA DE RADIO Y CUBITO
B00003474A|L73.1|FRACTURA PERONE|Y|FRACTURA PERONE
B00003475A|L73.2|FRACTURA TIBIA|Y|FRACTURA TIBIA
B00004640A|P29.7|ONICOFAGIA|Y|COMERSE LA UÑA/S
B00004641A|P29.8|PROBLEMA MENTAL NC|Y|COMPORTAMIENTO EXTRAÑO, ANORMAL EN ADULTOS NE, ADULTO
B00004642A|P29.9|QUEJARSE (EXCESIVAME./SIN CAUSA)|Y|DOLOR PSICOGENO NE
B00004646A|P31.1|EXAMEN PSICOLOGICO PARCIAL|Y|
B00004660A|P43.1|PSICOLOGICAS, PRUEBAS (DIAGNOSTICOS)|Y|
B00004664A|P45.1|CONSEJO PSICOLOGICO|Y|
B00004679A|P58.1|CONSEJO PSIQUIATRICO|Y|
B01796301A|P58.2|PSICOTERAPIA DE GRUPO|Y|
B00004694A|P70.1|ALZHEIMER, ENF. DE|Y|ENFERMEDAD ALZHEIMER, DEMENCIA
B00004695A|P70.10|DEMENCIA MIXTA|Y|DEMENCIA MIXTA
B00004696A|P70.11|DEMENCIA DEGENERATIVA PRIMARIA|Y|DEMENCIA
B00914977A|P70.13|DEMENCIA PRECOZ|Y|DEMENCIA
B00004697A|P70.2|DEMENCIA. VEASE PSICOSIS|Y|DEMENCIA
B00004698A|P70.3|DEMENCIA. VEASE PSICOSIS ENF. DE ALZHEIMER|Y|ENFERMEDAD ALZHEIMER, DEMENCIA
B00004702A|P70.7|SENIL DEMENCIA|Y|DEMENCIA VASCULAR
B00004703A|P70.8|DEMENCIA VASCULAR|Y|DEMENCIA
B00004704A|P70.9|DEMENCIA|Y|DEMENCIA
B00004707A|P71.1|DELIRIUM (NO ALC.) (ORG.)|Y|DELIRIO
B00004708A|P71.2|MENTAL DEF., RETRA., SUBNORM. POR LESI. ORGANICOCE.|Y|OTRA PSICOSIS ORGANICA
B00004709A|P71.3|PSICOSIS, PSICOTICO ORGANICA|Y|OTRA PSICOSIS ORGANICA
B00004710A|P71.4|PSICOSIS, PSICOTICO ORGANICA TRANSITORIA (OTRAS)|Y|OTRA PSICOSIS ORGANICA
B00004712A|P71.6|DELIRIOS|Y|DELIRIO
B00004713A|P71.7|PSICOSIS, PSICOTICO KORSAKOFF (NO ALCOH.)|Y|OTRA PSICOSIS ORGANICA
B00004706A|P71.9|OTRAS PSICOSIS ORGANICAS (NO MAPEA)|Y|OTRA PSICOSIS ORGANICA
B00004716A|P72.1|ESTADO CATATONICO|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004717A|P72.10|ESQUIZOFRENIA|Y|ESQUIZOFRENIA
B00004718A|P72.11|ESQUIZOFRENIA DESORGANIZADA (HEBEFRENICA)|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004719A|P72.12|TRASTORNO DELIRANTE|Y|REACCION PARANOIDE, PARANOIA
B00004720A|P72.13|TRASTORNO ESQUIZOAFECTIVO|Y|TRASTORNO ESQUIZOFRENICO
B00004721A|P72.14|ESQUIZOFRENIA SIMPLE|Y|ESQUIZOFRENIA
B00893436A|P72.20|PSICOSIS ATIPICA|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00035864A|P72.21|ESQUIZOFRENIA PARANOIDE|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00035845A|P72.22|ESQUIZOFRENIA RESIDUAL|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00165269A|P72.23|PSICOSIS ESQUIZOAFECTIVA|Y|TRASTORNO ESQUIZOFRENICO
B01692594A|P72.24|TRASTORNO ESQUIZOFRENICO|Y|TRASTORNO ESQUIZOFRENICO
B00004723A|P72.3|PARAFRENIA|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004724A|P72.4|PARANOIA, ESTADO O REACCION PARANOIDE|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004725A|P72.5|PSICOSIS, PSICOTICO CATATONICA|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004726A|P72.6|PSICOSIS, PSICOTICO ESPECIFICA NC|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004727A|P72.7|PSICOSIS, PSICOTICO HEBEFRENICA|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004728A|P72.8|PSICOSIS, PSICOTICO PARANOIDE|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004729A|P72.9|PSICOSIS, PSICOTICO, ESQUIZOFRENIA (TODOS LOS TIPOS) NC|Y|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
B00004731A|P73.11|PSICOSIS AFECTIVAS (NO MAPEA)|Y|PSICOSIS AFECTIVA
B00004733A|P73.2|HIPOMANIA|Y|HIPOMANIA
B00004734A|P73.3|MANIA, NC|Y|MANIA
B00004735A|P73.4|PSICOSIS, PSICOTICO AFECTIVA|Y|PSICOSIS AFECTIVA
B00004736A|P73.5|PSICOSIS, PSICOTICO ESQUIZOAFECTIVA, ESQUIZOF.|Y|PSICOSIS MANIACODEPRESIVA
B00004737A|P73.6|PSICOSIS, PSICOTICO FENOMENOLOGICA NC|Y|PSICOSIS AFECTIVA
B00004738A|P73.7|PSICOSIS, PSICOTICO MANIACO-DEPRESIVA|Y|SINDROME MANIACODEPRESIVO
B00004739A|P73.8|TRASTORNO BIPOLAR|Y|TRASTORNO BIPOLAR
B00004740A|P73.9|TRASTORNO CICLOTIMICO|Y|TRASTORNO BIPOLAR
B00004743A|P74.1|ANSIEDAD ESTADO DE|Y|ESTADO DE ANSIEDAD
B00035958A|P74.14|ANGUSTIA|Y|ESTADO DE ANSIEDAD
B11303858A|P74.15|ATAQUE/CRISIS DE PANICO|Y|ATAQUE DE PANICO
B00057882A|P74.16|SINDROME DE ANSIEDAD|Y|ESTADO DE ANSIEDAD
B00034217A|P74.17|TRASTORNO DE ANSIEDAD|Y|TRASTORNO DE ANSIEDAD
B00004744A|P74.2|ANSIEDAD NEUROSIS DE|Y|ESTADO DE ANSIEDAD
B11303808A|P74.3|CRISIS DE ANGUSTIA/CRISIS DE ANSIEDAD|Y|ESTADO DE ANSIEDAD
B00004746A|P74.4|TRASTORNO DE ANSIEDAD GENERALIZADA|Y|ANSIEDAD GENERALIZADA
B00004747A|P74.5|TRASTORNO DE ANSIEDAD CON AGORAFOBIA|Y|TRASTORNO DE ANSIEDAD
B00004748A|P74.6|TRASTORNO DE ANSIEDAD SIN AGORAFOBIA|Y|TRASTORNO DE ANSIEDAD
B00004750A|P74.8|ANSIEDAD CRONICA|Y|TRASTORNO DE ANSIEDAD
B00004751A|P74.9|TRASTORNO ADAPTATIVO CON ANIMO ANSIOSO (ANSIEDAD)|Y|TRASTORNO DE ANSIEDAD
B00004754A|P75.1|CARDIACO NEUROSIS|Y|NEUROSIS HISTERICA, HISTERIA
B00004755A|P75.10|SENTIRSE HISTERICO|Y|NEUROSIS HISTERICA, HISTERIA
B00004756A|P75.11|DOLOR PSICOGENO NC|Y|NEUROSIS HISTERICA, HISTERIA
B00036050A|P75.13|TRASTORNO DE SOMATIZACION/DE CONVERSION|Y|TRASTORNO DE SOMATIZACION/DE CONVERSION
B00004757A|P75.2|CONVERSION HISTERICA|Y|NEUROSIS HISTERICA, HISTERIA
B00004758A|P75.3|HIPOCONDRIA|Y|ALTERACION HIPOCONDRIACA, HIPOCONDRIA
B00004759A|P75.4|HISTERIA|Y|NEUROSIS HISTERICA, HISTERIA
B00004760A|P75.5|NEUROSIS HISTERICA NC|Y|NEUROSIS HISTERICA, HISTERIA
B00004761A|P75.6|TRASTORNO DE CONVERSION|Y|TRASTORNO DE SOMATIZACION/DE CONVERSION
B00004762A|P75.7|TRASTORNO DISMORFICO CORPORAL|Y|TRASTORNO DE SOMATIZACION/DE CONVERSION
B00004763A|P75.8|TRASTORNO SOMATOMORFO INDIFERENCIADO|Y|TRASTORNO DE SOMATIZACION/DE CONVERSION
B00036080A|P76.1|DEPRESION/TRASTORNO DEPRESIVO|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004769A|P76.11|DEPRESION MAYOR|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004770A|P76.12|DEPRESION NEUROTICA / DEPRESION REACTIVA|Y|DEPRESION NEUROTICA
B00004771A|P76.13|DEPRESION POSTPARTO|Y|DEPRESION POSTPARTO, POSNATAL, PUERPERAL
B00004772A|P76.14|TRASTORNO DEPRESIVO RECURRENTE|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004773A|P76.15|ANSIEDAD CON DEPRESION|Y|ANSIEDAD CON DEPRESION
B00004774A|P76.16|DEPRESION CRONICA|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004775A|P76.17|TRASTORNO ADAPTATIVO DEPRESIVO|Y|DISTIMIA
B00004776A|P76.18|TRASTORNO ADAPTATIVO MIXTO(ANSIOSO/DEPRESIVO)|Y|NEUROSIS DEPRESIVA
B00004777A|P76.2|NEUROSIS DEPRESION NC|Y|DEPRESION/TRASTORNO DEPRESIVO
B00762664A|P76.23|DEPRESION - INTENTO DE SUICIDIO|Y|DEPRESION/TRASTORNO DEPRESIVO
B00077727A|P76.24|DEPRESION GRAVE|Y|DEPRESION/TRASTORNO DEPRESIVO
B00035877A|P76.25|PSICOSIS, PSICOTICO DEPRESIVA|Y|PSICOSIS DEPRESIVA
B02439070A|P76.26|DEPRESION IDEAS DE AUTOLISIS|Y|DEPRESION REACTIVA
B00004778A|P76.3|REACTIVA, DEPRESION|Y|DEPRESION REACTIVA
B00004779A|P76.4|ENDOGENA, DEPRESION|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004780A|P76.5|TRASTORNO DEPRESIVO MENOR|Y|DEPRESION/TRASTORNO DEPRESIVO
B00073892A|P76.6|TRASTORNO DISTIMICO|Y|DISTIMIA
B00004782A|P76.7|TRASTORNO MAYOR UNICO RECIDIVANTE|Y|DEPRESION/TRASTORNO DEPRESIVO
B00004783A|P76.8|TRASTORNOS DEPRESIVOS MAYOR UNICO|Y|DEPRESION/TRASTORNO DEPRESIVO
B00036618A|P77.16|INTENTO DE SUICIDIO|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00080534A|P77.17|SUICIDIO|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00004786A|P77.18|SUICIDIO/INTENTO DE SUICIDIO (NO MAPEA)|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00036619A|P77.19|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00004788A|P77.2|SENTIRSE AUTODESTRUCTIVO|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00004787A|P77.20|PARASUICIDIO|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00036590A|P77.21|AUTOLISIS|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B01801339A|P77.22|IMPULSO SUICIDA|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00069970A|P77.23|IDEAS DE SUICIDIO|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00360467A|P77.24|IDEAS DE AUTOLISIS|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00004789A|P77.3|SUICIDIO, SUICIDA (ACTOS/IDEAS/IMPULSOS)|Y|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
B00004795A|P78.1|"ESTRES CRONICO (""SURMENAGE"")"|Y|SURMENAGE
B00004796A|P78.2|"FATIGA INTELECTUAL (""SURMENAGE"")"|Y|SURMENAGE
B00004797A|P78.3|NEURASTENIA|Y|NEURASTENIA
B00004800A|P79.1|AEROFOBIA|Y|AEROFOBIA, MIEDO A VOLAR
B00004799A|P79.11|FOBIA/TRASTORNO COMPULSIVO (NO MAPEA)|Y|FOBIA
B00004801A|P79.2|CLAUSTROFOBIA|Y|CLAUSTROFOBIA
B00036647A|P79.4|NEUROSIS OBSESIVA|Y|NEUROSIS OBSESIVA
B00004804A|P79.5|AGORAFOBIA|Y|AGORAFOBIA
B11303773A|P79.6|FOBIA/NEUROSIS FOBICA/TRASTORNO FOBICO|Y|FOBIA
B11303774A|P79.7|TRASTORNO/NEUROSIS OBSESIVO-COMPULSIVA|Y|TRASTORNO OBSESIVO COMPULSIVO
B02302974A|P79.8|ZOOFOBIA|Y|FOBIA
B00004808A|P79.9|FOBIA SOCIAL|Y|FOBIA
B00004811A|P80.1|ALTERACION PERSONALIDAD (CUALQ.)|Y|TRASTORNO DE PERSONALIDAD
B03125014A|P80.10|TRASTORNO ESQUIZOTIPICO|Y|TRASTORNO DE PERSONALIDAD
B00054734A|P80.11|TRASTORNO HISTRIONICO DE PERSONALIDAD|Y|TRASTORNO DE LA PERSONALIDAD, INMADURA
B00056917A|P80.12|TRASTORNO LIMITE DE LA PERSONALIDAD|Y|PROBLEMA PERSONALIDAD NE
B00004815A|P80.13|TRAST. PERSONALITAT NARCISITA|Y|NARCISISMO
B00073492A|P80.14|TRASTORNO HUIDIZO DE LA PERSONALIDAD|Y|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
B00004817A|P80.15|TRASTORNO DE LA CONDUCTA DEL ADULTO|Y|TRASTORNO DE LA CONDUCTA DEL ADULTO
B00004818A|P80.16|PERSONALITAT ANSIOSA|Y|HISTRIONISMO
B00059008A|P80.19|TRASTORNO AFECTIVO DE PERSONALIDAD|Y|SINDROME DE MUNCHAUSEN
B00004819A|P80.2|PERSONALIDAD AGRESIVA|Y|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
B11303860A|P80.20|AGRESIVIDAD/COMPORTAMIENTO AGRESIVO/CONDUCTA AGRESIVA|Y|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
B00004820A|P80.3|PERSONALIDAD ASOCIAL|Y|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
B00004821A|P80.4|PERSONALIDAD COMPULSIVA|Y|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
B00004822A|P80.5|PERSONALIDAD DEPRESIVA|Y|TRASTORNO DE PERSONALIDAD
B00004823A|P80.6|PERSONALIDAD INMADURA|Y|TRASTORNO DE LA PERSONALIDAD, INMADURA
B11303787A|P80.7|PERSONALIDAD PASIVA O DEPENDIENTE|Y|TRASTORNO DE LA PERSONALIDAD, PASIVA
B00353777A|P80.9|TRASTORNO ESQUIZOIDE DE LA PERSONALIDAD|Y|NEUROSIS DE COMPENSACION
B00004829A|P81.1|PERTURBACION DEL DEFICIT DE ATENCION|Y|
B02230441A|P81.1004|PROBLEMA APRENDIZAJE/DEFICIT ATENCION|Y|
B00068098A|P81.1005|TRASTORNO DE HIPERACTIVIDAD|Y|
B00068992A|P81.1006|SINDROME HIPERCINETICO|Y|
B00035411A|P81.1007|DEFICIT DE ATENCION|Y|
B00004830A|P81.2|HIPERCINETICO, NIÑO|Y|
B00004831A|P81.3|DISMINUCION/DEFICIT DE LA ATENCION|Y|
B00004832A|P81.4|HIPERACTIVIDAD|Y|
B00004833A|P81.5|TRASTORNO HIPERQUINETICO DE LA CONDUCTA|Y|
B00004834A|P81.6|HIPERACTIVO, NIÐO|Y|
B00059130A|P81.999|TRASTORNO POR DEFICIT DE ATENCION CON HIPERACTIVIDAD|Y|
B00004837A|P82.1|TRASTORNO POR ESTRES POSTRAUMATICO|Y|ESTRES POSTRAUMATICO
B11303788A|P85.1|DEFICIT/RETRASO MENTAL|Y|DEFICIENCIA MENTAL, RETRASO, SUBNORMALIDAD
B00036719A|P85.11|RETRASO MENTAL PROFUNDO|Y|RETRASO MENTAL
B00036716A|P85.12|RETRASO MENTAL LEVE|Y|RETRASO MENTAL
B00058342A|P85.13|RETRASO MENTAL DISCRETO|Y|RETRASO MENTAL
B00034676A|P85.14|RETRASO MENTAL MODERADO.|Y|RETRASO MENTAL
B00036720A|P85.15|RETRASO MENTAL SEVERO|Y|RETRASO MENTAL
B00004841A|P85.2|FALLO DESARROLLO MENTAL|Y|DEFICIENCIA MENTAL, RETRASO, SUBNORMALIDAD
B00004843A|P85.4|CAPACIDAD INTELECTUAL LIMITE (BORDER LINE)|Y|DEFICIENCIA MENTAL, RETRASO, SUBNORMALIDAD
B00004844A|P85.5|OLIGOFRENIA|Y|OLIGOFRENIA
B00004847A|P86.1|ANOREXIA NERVIOSA|Y|ANOREXIA NERVIOSA
B00004848A|P86.2|BULIMIA|Y|BULIMIA
B00004849A|P86.3|INCAPACIDAD DEJAR DE COMER|Y|BULIMIA
B00097867A|P86.5|ANOREXIA NERVIOSA Y BULIMIA|Y|ANOREXIA NERVIOSA
B02222778A|P98.1|PSICOSIS PUERPERAL|Y|PSICOSIS PUERPERAL
B00004851A|P98.10|OTRAS PSICOSIS NE (NO MAPEA)|Y|PSICOSIS AGUDA NE
B00070781A|P98.11|BROTE PSICOTICO|Y|PSICOSIS AGUDA NE
B00072877A|P98.12|TRASTORNO PSICOTICO|Y|PSICOSIS AGUDA NE
B00004700A|P98.13|PSICOSIS, PSICOTICO PRESENIL|Y|PSICOSIS AGUDA NE
B00004701A|P98.14|PSICOSIS, PSICOTICO SENIL|Y|PSICOSIS AGUDA NE
B03280018A|P98.2|PSICOSIS NE|Y|PSICOSIS AGUDA NE
B00004699A|P98.9|PSICOSIS, PSICOTICO ARTERIOESCLEROTICA|Y|PSICOSIS AGUDA NE
B00004857A|P99.2|DISTUR./ALTER. EMOCIONAL NC ADULTO|Y|OTRO PROBLEMA PSICOLOGICO/MENTAL
B00675358A|P99.4|NEUROSIS NE|Y|NEUROSIS NE
B00036755A|P99.5|AUTISMO INFANTIL|Y|AUTISMO
B00004855A|P99.8|OTR PROB PSICOLOGICOS/MENTALES (NO MAPEA)|Y|ENFERMEDAD MENTAL NE
B00004864A|R01.1|DOLOR RESPIRATORIO NC|Y|RESPIRACION DOLOROSA, DOLOR AL RESPIRAR
B00004865A|R01.2|DOLOR TORAX RESPIRATORIO NC|Y|RESPIRACION DOLOROSA, DOLOR AL RESPIRAR
B00004866A|R01.3|MOLESTIES AL RESPIRAR|Y|RESPIRACION DOLOROSA, DOLOR AL RESPIRAR
B00036772A|R01.4|DOLOR PLEURITICO, PLEURODINIA|Y|RESPIRACION DOLOROSA, DOLOR AL RESPIRAR
B00004870A|R02.1|DIFICUL. RESPIRACION|Y|FATIGA RESPIRATORIA/DISNEA
B00004872A|R02.11|ASFIXIA|Y|FATIGA RESPIRATORIA/DISNEA
B00004873A|R02.12|INSUFICIENCIA RESPIRATORIA AGUDA|Y|FATIGA RESPIRATORIA/DISNEA
B00004874A|R02.2|DISNEA|Y|FATIGA RESPIRATORIA/DISNEA
B02809801A|R02.2001|DISNEA / ORTOPNEA|Y|ORTOPNEA
B00004871A|R02.2004|DISNEA SUSPIROSA|Y|FATIGA RESPIRATORIA/DISNEA
B00004877A|R02.5|RESPIRACION LABORIOSA|Y|FATIGA RESPIRATORIA/DISNEA
B00004878A|R02.6|RESPIRACION SUPERFICIAL|Y|FATIGA RESPIRATORIA/DISNEA
B00004880A|R02.8|DISNEA DE ESFUERZO|Y|FATIGA RESPIRATORIA/DISNEA
B00004881A|R02.9|DISNEA O ANORM RESPIRATORIA / ORTOPNEA / APNEA / TAQUIPNEA|Y|ORTOPNEA
B00004884A|R03.1|ANORMAL RUIDOS RESPIRATORIOS|Y|ANORMALIDAD RUIDO/S RESPIRATORIO/S
B00004885A|R03.2|JADEAR|Y|RESPIRACION JADEANTE, JADEO, JADEAR
B00004886A|R03.3|RESPIRACION RUIDOSA|Y|RESPIRACION RUIDOSA
B00004887A|R03.4|SIBILANCIAS|Y|RESPIRACION SIBILANTE, SIBILANCIAS
B00004888A|R03.5|RONCUS|Y|RESPIRACION SIBILANTE, SIBILANCIAS
B00004889A|R03.6|BRONCOESPASMO|Y|RESPIRACION SIBILANTE, SIBILANCIAS
B00004890A|R03.7|BRONCOESPAMO (EXCLUIDO FARMACOS)|Y|RESPIRACION SIBILANTE, SIBILANCIAS
B00004893A|R04.1|ANORMAL RESPIRACION NC|Y|RESPIRACION ANORMAL
B00004894A|R04.2|ESTERTORES (RESP. RUID.)|Y|RESPIRACION ANORMAL
B00004895A|R04.3|RONCAR|Y|RONCAR, RONQUIDOS
B00004896A|R04.4|SINTOMA, QUEJA, SIGNO RESPIRACION NC|Y|QUEJA, SIGNO/SINTOMA RESPIRACION
B00004897A|R04.5|APNEA|Y|APNEA
B00004898A|R04.6|RECIEN NACIDO VIVO DISTRES RESPIRATORIO|Y|DISTRES RESPIRATORIO
B00004901A|R05.1|TOS, EXPECTORACION (AG./CRO.)|Y|TOS INEXPLICADA PRODUCTIVA / HUMEDA
B00004902A|R05.10|TOS PERTUSSOIDE|Y|TOS
B00004903A|R05.11|TOS RESIDUAL|Y|TOS
B00004904A|R05.12|TOS, HIPERREACTIVIDAD BRONQUIAL (HRB)|Y|TOS
B00004905A|R05.13|TOS NOCTURNA|Y|TOS
B00004906A|R05.14|TOS ALERGICA|Y|TOS
B00004907A|R05.15|TOS BRONQUIAL|Y|TOS
B00004908A|R05.16|TOS, FIEBRE (AG./CRO.)|Y|TOS
B00004909A|R05.17|TOS LARINGEA|Y|TOS
B00004910A|R05.2|TOS, EXPECTORACION FUMADORES (AG./CRO.)|Y|TOS INEXPLICADA PRODUCTIVA / HUMEDA
B00004911A|R05.3|TOS, EXPECTORACION, FIEBRE (AG./CRO.)|Y|TOS INEXPLICADA PRODUCTIVA / HUMEDA
B00004912A|R05.4|TOS|Y|TOS
B00004913A|R05.5|TOS IRRITATIVA NC|Y|TOS INEXPLICADA SECA
B00004914A|R05.6|TOS CRONICA|Y|TOS
B00004915A|R05.7|TOS ESPASTICA|Y|TOS
B00004916A|R05.8|TOS NO PRODUCTIVA|Y|TOS INEXPLICADA SECA
B00004917A|R05.9|TOS PERSISTENTE|Y|TOS
B00004920A|R06.1|EPISTAXIS|Y|EPISTAXIS, HEMORRAGIA NASAL, SANGRADO
B00004921A|R06.2|EPISTAXIS DE REPETICION|Y|EPISTAXIS, HEMORRAGIA NASAL, SANGRADO
