AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00000072A|A06.9|PRESINCOPE|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B01500623A|A06.999|DESVANECIMIENTO|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B11302945A|A07.-1|COMA (RESTO)|Y|COMA
B00008798A|A07.2|COMA|Y|COMA
B00008802A|A08.1|INFLAMACION|Y|INFLAMACION NE
B00000080A|A08.2|BULTO, MASA|Y|BULTO, MASA NE
B00000083A|A09.1|EXCESO (EXCESIVO) SUDORACION|Y|HIPERHIDROSIS, SUDOR, SUDORACION EXCESIVA
B00000084A|A09.2|SUDOR (PROB.) CALOR|Y|SUDOR, PROBLEMA DE SUDORACION
B00000085A|A09.3|SUDOR NOCTURNO|Y|SUDORACION NOCTURNA
B02953772A|A09.4|PROBLEMA DE SUDORACION|Y|SUDOR, PROBLEMA DE SUDORACION
B00008832A|A10.1|HEMORRAGIA, SANGRADO NE|Y|HEMORRAGIA, SANGRADO NE
B00000094A|A11.2|SINTOMA, QUEJA, SIGNO TORAX NC|Y|DOLOR TORAX, TORACICO NE
B00000095A|A11.3|MOLESTIES TORACIQUES NC|Y|DOLOR TORAX, TORACICO NE
B00000099A|A13.2|MIEDO (DE PADEC.) REACCION POR FARMAC.|Y|
B00000103A|A16.10|LLANTO (EXCESIVO) NIÐO/ADOLESCENTE|Y|
B00000104A|A16.11|LLORO/LLANTO EXCESIVO DEL LACTANTE|Y|
B00000106A|A16.12|LLANTO|Y|
B00000109A|A16.3|NIÑO INQUIETO|Y|
B00000114A|A16.8|SINTOMA, QUEJA, SIGNO GENERALES INFANTILES NC|Y|
B04758810A|A16.9|NIÑO CON SINTOMAS GENERALES|Y|
B00000119A|A20.1|EUTANASIA, PETIC./DISCU.|Y|
B00000123A|A21.1|FACTOR DE RIESGO PARA CANCER NC|Y|OTRO FACTOR DE RIESGO PARA CANCER NE
B00000124A|A21.2|ANTECEDENTE FAMILIAR CANCER|Y|ANTECEDENTE FAMILIAR, CANCER
B02397988A|A23.1|FACTOR DE RIESGO|Y|
B00000130A|A23.11|PERSONA ANCIANA FRAGIL, ANCIANO DE ALTO RIESGO|Y|
B00000131A|A23.12|RIESGO SINDROME DEL CUIDADOR|Y|
B00000132A|A23.13|CONTACTO GRIPE H1N1|Y|
B00000133A|A23.14|RIESGO DE CAIDA|Y|
B00000135A|A23.16|RIESGO DE TRAUMATISMO|Y|
B00000136A|A23.17|RIESGO DE ALTERACION DEL DESARROLLO|Y|
B00000137A|A23.18|ANTECEDENTES FAMILIARES DE GLAUCOMA|Y|
B00000138A|A23.2|CONTACTO CON ENFERMEDAD INFECCIOSA|Y|
