descriptor_bueno,descriptor_malo
PROLAPSO UTERO / VAGINA,PROLAPSO UTERINO
RINOCONJUNTIVITIS ALERGICA,RINOCONJUNTIVITIS EXTRINSECA
"SINTOMA, QUEJA, SIGNO RESPIRACION NC","SINTOMA, SIGNO EN LA RESPIRACION"
DISTIMIA DEPRESIVA,SENTIMIENTO DEPRESIVO
FRACTURA FALANGES DE PIE,FRACTURA DEDO DEL PIE - DERECHO/A
DOLOR ENCIAS NC,"INFLAMACION, ENCIAS NC"
INTOLERANCIA A LA GLUCOSA,TOLERANCIA ANORMAL A LA GLUCOSA
FASCITIS PLANTAR,FASCITIS PLANTAR - AMBOS/AS
SIGNO/SINTOMA DE LOS DEDOS DEL PIE,"SINTOMA, SIGNO DEDOS DEL PIE - AMBOS/AS"
"SECO, SEQUEDAD PIEL",SEQUEDAD DE LA PIEL
DOLOR MUSLO NC,DOLOR DE MUSLO - DERECHO/A
ANEMIA NORMOCITICA,ANEMIA NORMOCITICA NO FILIADA
DISPEPSIA FUNCIONAL,DISPEPSIA FUNCIONAL TIPO DISMOTILIDAD
PERDIDA DE PESO EXCESIVA,"EXCESO \(EXCESIVO\) PESO, PERDIDA"
"HEMORRA., SANGR. NC EMBARAZO",SANGRADO VAGINAL EN EL EMBARAZO
LUXACION (ARTICULAC.) HOMBRO,LUXACION DE HOMBRO - DERECHO/A
DOLOR RODILLA NC,DOLOR DE RODILLA - AMBOS/AS
FRACTURA METACARPO,FRACTURA DEL METACARPO - DERECHO/A
EMBARAZO CONFIRMADO NO DESEADO,EMBARAZO CONFIRMADO NO PLANIFICADO
INSUFICIENCIA VENOSA CRONICA,INSUFICIENCIA VENOSA CRONICA - IZQUIERDO/A
FLEBITIS/TROMBOFLEBTIS PIERNA/S,FLEBITIS - DERECHO/A
FLEBITIS/TROMBOFLEBTIS PIERNA/S,FLEBITIS - IZQUIERDO/A
"EXTRAÑO, CUERPO OJO",DOCUERPO EXTRAÑO CORNEAL - IZQUIERDO/ALOR
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÑO CORNEAL - DERECHO/A
GANGLIOS LINFATICOS SINTOMAS/SIGNOS GENE.,SINTOMA GANGLIO LINFATICO
PRURITO (PICOR DE) OJO/S,PRURITO OCULAR
LUXACION (ARTICULAC.) HOMBRO,LUXACION DE HOMBRO - IZQUIERDO/A
DOLOR MUSLO NC,DOLOR DE MUSLO - IZQUIERDO/A
DOLOR MASCULINO TESTICULOS NC,DOLOR EN TESTICULO - IZQUIERDO/A
AFTAS/ULCERAS AFTOSAS/ESTOMATITIS AFTOSA,AFTAS RECIDIVANTES
PRURITO (PICOR DE) OJO/S,PICOR OCULAR
MASTOPATIA,MASTITIS - IZQUIERDO/A
MASTOPATIA,MASTITIS - DERECHO/A
ANEMIA FERROPENICA,ANEMIA FERROPENICA DE CAUSA DESCONOCIDA
QUEMADURA (PIEL),QUEMADURA QUIMICA EN PIEL
"PAPULA, PAPULAS",PAPULAS CUTANEAS
DOLOR MASCULINO TESTICULOS NC,DOLOR EN TESTICULO - DERECHO/A
"HEMORRAGIA RECTAL Y ANAL, RECTORRAGIA","HEMORRA\., SANGR\. NC ANAL/RECTAL \(EXC\. HEMORROIDES\)"
URTICARIA/ANGIOEDEMA,ANGIOEDEMA
DOLOR MANO NC,DOLOR DE MANO - AMBOS/AS
LUXACION (ARTICULAC.) DEDO,LUXACION DE DEDO MANO - DERECHO/A
"ULCERA DE MIEMBROS INFERIORES, SALVO LLAGA DECUBITO","ULCERA DE MIEMBROS INFERIORES, SALVO DE DECUBITO"
INSUFICIENCIA VENOSA CRONICA- AMBOS/AS,INSUFICIENCIA VENOSA CRONICA - DERECHO/A
ARTROSIS/ARTRITIS POR CRISTAL. (EX. GOTA),ARTRITIS POR CRISTALES
"SIGNOS/SINTOMAS DEL OIDO/OREJA, CHASQUIDO, GRIETAS","SINTOMA, SIGNO DEL OIDO - AMBOS/AS"
FRACTURA FALANGES DE PIE,FRACTURA DEDO DEL PIE - IZQUIERDO/A
ENFERMEDAD ENCIAS NC,ENFERMEDAD ENCIAS NO ESPECIFICADA
DERRAME ARTICULAR,DERRAME EN RODILLA - DERECHO/A
DEDO EN RESORTE,GATILLO DEDO EN
PULPITIS / ABSCESO PULPAR / POLIPO PULPAR,ENFER PULPA DENTAL O TEJIDO PERIAPICAL
"INFECCION, APARATO RESPIRATORIO ALTA NC (IRA)","INFEC\.AGUDAS VIAS RESP\.SUPER\.,LOCALIZ\.MULT\. O LOCAL\. NO ESPE"
"TOS, EXPECTORACION (AG./CRO.)","TOS, EXPECTORACION \(AG\./CRO\.\) CON SALBUTAMOL"
INSUFICIENCIA RENAL CRONICA,ERC
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÑO CORNEAL - IZQUIERDO/A
TOS,"TOS, CATARRO"
ESTOMATITIS,RAGADES BUCALES
NEOPLASIA MALIGNA PROSTATA,CANCER DE PROSTATA
FARINGOAMIGDALITIS NC,AMIGDALOFARINGITIS
INSUFICIENCIA RENAL CRONICA ESTADIO 3,INSUFICIENCIA RENAL CRONICA 3A
"SINTOMA, QUEJA, SIGNO CLIMATERIO NC","SINTOMA, SIGNO DEL CLIMATERIO"
DOLOR HOMBRO NC,DOLOR HOMBRO DECHO
DIARREA,DIARREA FUNCIONAL
NEOPLASIA MALIGNA PIEL,NEOPLASIA DE LA PIEL
INFECCION URINARIA TRACTO,INFECCION TRACTO URINARIO INFERIOR
GONALGIA - BILATERAL,GONALGIA DECHA
"TOS, EXPECTORACION (AG./CRO.)","TOS, EXPECTORACION \(AG\./CRO\.\) SALBUTAMOL"
PROBLEMA TAMAÑO DE LA MAMA NC,PROBLEMA POR TAMAÑO DE LA MAMA - AMBOS/AS
"SECO, SEQUEDAD GARGANTA",SEQUEDAD DE GARGANTA
FLEMAS,FLEMAS EN CANTIDAD ANORMAL
ULCERA CORNEAL,ULCERA CORNEAL TRAUMATICA
DERRAME ARTICULAR,DERRAME EN RODILLA - IZQUIERDO/A
"LESION AGUDA MENISCO, RODILLA",ROTURA DE MENISCO INTERNO RODILLA - DERECHO/A
DEDO EN RESORTE,DEDO EN GATILLO - DERECHO/A
POLIPO/S CERVIX UTERINO,POLIPO ADENOMATOSO DE CERVIX
TROMBOSIS VENOSA PROFUNDA (TVP) PIERNA/S,TROMBOSIS VENOSA PROFUNDA - IZQUIERDO/A
"INFECCION DE HERIDA POSTRAUMATICA, PIEL",INFECCION DE PIEL POSTRAUMATICA
"SINTOMA, QUEJA, SIGNO MENOPAUSICOS NC","SINTOMA, SIGNO MENOPAUSIA"
FLEBITIS/TROMBOFLEBITIS NE,TROMBOFLEBITIS - IZQUIERDO/A
MICCION ESCOZOR,ESCOZOR MICCIONAL
INSUFICIENCIA RENAL CRONICA ESTADIO 3,ENFERMEDAD RENAL CRONICA ESTADIO 3
ANEMIA FERROPENICA,ANEMIA FERROPENICA POR PERDIDA GINECOLOGICA
ATROFIA GENITAL FEMENINA,ATROFIA VAGINAL POSTMENOPAUSICA
ACIDEZ/ARDOR/PIROSIS ESTOMAGO,ARDOR DE ESTOMAGO
INTOXICACION,INTOXICACION POR PRODUCTOS QUIMICOS
"OIDO, OREJA PICOR",PRURITO EN EL OIDO - AMBOS/AS
"INFLAMACION, TOBILLO/S (NO TRAUMAT.) NC",INFLAMACION TOBILLO OSTEOMUSCULAR - DERECHO/A
DOLOR TORAX CARDIACO NC,DOLOR DE TORAX ATRIBUIDO AL CORAZON
PERDIDA MEMORIA (TEMPORAL),PERDIDA TEMPORAL DE LA MEMORIA
TRASTORNO DEL DESARROLLO Y ERUPCION DE LOS DIENTES,PROBLEMAS CON LA ERUPCION DENTAL
FRACTURA DE FEMUR (RESTO),FRACTURA DE FEMUR - IZQUIERDO/A
"NEURALGIA, NEURITIS Y RADICULITIS NO ESPECIFICADAS",RADICULITIS DORSAL O LUMBOSACRA NEOM / SINDR RADICULAR MIEMB
ORINA OLOR MALO,ORINA CON MAL OLOR
DOLOR CADERA NC,DOLOR DE CADERA - AMBOS/AS
"BLOQUEO, TAPONAMIENTO CONDUCTO LAGRIMAL",OBSTRUCCION CONDUCTO LAGRIMAL ADULTOS
MAMA BULTO,BULTO MAMARIO \(MUJER\) - IZQUIERDO/A
DOLOR RODILLA NC,DOLOR RODILLA DECHA
TENOSINOVITIS,TENOSINOVITIS - DERECHO/A
"LESION AGUDA MENISCO, RODILLA",ROTURA DE MENISCO INTERNO RODILLA - IZQUIERDO/A
