AUI|CODE|STR|ISPREF
B08918707A|F75.4|SUBCONJUNTIVAL, HEMORRAGIA / IZQ|N
B01149287A|D88.7|APENDICITIS AGUDA ( APENDICECTOMIA)|N
B00027639A|L11.21|DOLOR MUÑECA NC - AMBOS/AS|N
B00790433A|F93.4|GLAUCOMA (EXC. CONGENITO F81) ------|N
B00386529A|A63.1|EVOLUCION...|N
B09399170A|L03.11|LUMBALGIA SIN IRRADIACION  MECANICA|N
B11366982A|D70.3|GASTROENTERITIS AGUDA ( CAMPYLOBACTER)|N
B00007099A|W96.999|OTR COMPLICACIONES DEL PUERPERIO (NO MAPEA)|N
B05839262A|H84.1|LEVE PRESBIACUSIA|N
B08736823A|H81.3|TAPON DE CERUMEN/O.I.|N
B00031819A|L91.23|POLIARTROSIS-|N
B11420613A|R74.10000|CATARRO / DESCENDENTE.|N
B11424419A|U99.10|INSUFICIENCIA RENAL CRONICA ++++++++|N
B04086321A|P19.19|EX -ADICCION A DROGAS VIA PARENTERAL ADVP|N
B02349043A|H71.999|OMA BRONQUITIS|N
B09314338A|T93.5|HIPERCOLESTEROLEMIA (LEVE )|N
B02314885A|H81.3|TAPON DE CERUMEN/O DCHO|N
B07207134A|K76.12|CARDIOPATIA ISQUEMICA (INFARTO) 50 AÑOS|N
B04708472A|L14.6|DOLOR PIERNA MUSCULO ESQUELETI NC IZQ.|N
B01807037A|D19.2|ODONTALGIA==> URG|N
B07281515A|L75.4|FX CADERA DRCHA|N
B02466298A|T99.17|HIPERPARATIROIDES|N
B00040435A|R78.6|BRONQUITIS..|N
B00025534A|K87.8|HTA  ( COMPLICADA)|N
B11427863A|L12.51|DOLOR NC DOLOR MANOS|N
B01839303A|H71.2|OTITIS MEDIA DR (AGUDA)|N
B08612409A|L75.4|CAIDA/FRACTURA DE CADERA IZDA|N
B01161568A|T91.14|VITAMINAS DEFICIENCIA VIT. D|N
B08918557A|L90.1|GONARTROSIS (+)|N
B03088873A|R95.3|REAGUDIZACION.ENFERMEDAD EPOC NC.|N
B00035645A|P24.3|TRASTORNOS DE APRENDIZAJE|N
B09010199A|D12.18|ESTREÑIMIENTO ESTREÑ|N
B03120140A|S91.4|PLACAS DE PSORIASIS|N
B11368058A|K75.1|INFARTO    AGUDO    DE MIOCARDIO|N
B00625345A|H70.1|ECCEMA CONDUC. AUD. EXT IZQ|N
B01338201A|K90.49|AIT EN 1999. ENCEFALOPATIA VASCULAR|N
B11401919A|S13.1|MORDEDURA POR UN GATO.|N
B06455749A|K90.48|ICTUS ISQUEMICO LACUNAR PROTUBEIZD 11/14|N
B02285156A|L87.1|GANGLION MUÑECA - DERECHO/A|N
B02975082A|P01.9|ANSIEDAD REACTIVIDAD|N
B00003412A|L55.1|ARTICULACION INYECCION EN|Y
B00048699A|T93.8|HIPERLIPEMIA MIXTA*|N
B06457428A|L01.11|CONTRACTURA CERVICAL /ACC.TRAFICO|N
B00027862A|L13.4|COXALGIA   DERECHA|N
B00020026A|H01.2|URG.OTALGIA - DERECHO/A|N
B11372481A|P76.15|SD DEPRESIVO-ANSIOSA|N
B01704803A|K99.22|SCHONLEIN-HENOCH|N
B00043867A|S18.4|LACERACIO  FERIDA|N
B00074429A|F05.16|ALTERACION DE LA VISION|Y
B09144448A|D10.1|VOMITO..(URG)..|N
B00253110A|F71.1|CONJUNTIVITIS NC : ALERGICA|N
B05749739A|S88.-1|DERMATITIS RETROAURICULA|N
B11155200A|K90.48|1997 ACV ISQUIMICO CARDIOEMBOLICO|N
B04389475A|K79.2|TAQUICARDIA NC SUPRAVENTRICULAR PAROXISTICA|N
B08881834A|T82.999|PESO EXCESIVO OBESIDAD****|N
B02200796A|N93.6|SINDROM TUNEL CARPIANO BILATERAL|N
B11387548A|R95.2|EPOC - ENFISEMA...|N
B04788872A|K76.12|CARDIOPATIA ISQUEMICA POSTINFARTO Y REVASCULARIZACION COMPLEJAY COMPLETA EN MAYO DEL 2013|N
B08589648A|K90.1|ACV-|N
B04458371A|R05.14|TOS/ALERGICA|N
B02704409A|S18.4|CORTE (HERIDA)(URG)|N
B09315821A|D02.8|DISPEPSIA/ NO ULCEROSA|N
B01732452A|X03.2|DOLOR OVULACION  INTERMENSTRUAL NC|N
B00047041A|T82.999|OBESIDAD**************************************|N
B00012106A|B80.1|FERROPENICA  -  ANEMIA|N
B01533519A|D20.6|BOCA SIGNOS Y SINTO DE LA BOCA|N
B00008258A|A03.8|FIEBRE , VIRIASIS|N
B11415352A|D95.3|FISTULA ANAL -|N
B00049902A|U85.3|RONYO MULTIQUISTIC|N
B11369312A|S23.4|ALOPECIA A. AREATA|N
B00727447A|P06.28|HIPERSOMNIA  SUEÑO EXCESIVO|N
B01783067A|D08.8|METEOR|N
B05387544A|A92.37|ALERGIA: ALTERNARIA.|N
B11403024A|T92.14|HIPERURICEMIA -> GOTA|N
B02339117A|R74.6|INFECCION, RESPIRATORIO ALTA NC (IRA)|N
B08893162A|D72.7|***   HEPATITIS C|N
B09049976A|S16.3|CONTUSION DE PIERNA DCHA.-|N
B01505739A|L73.3|FRACTURA DE TOBILLO IZDO,|N
B11367330A|D70.26|GEA (GASTROENTERITIS INFEC. INESP.) .|N
B00110369A|L12.5|DOLOR MANO  IZDA|N
B08521907A|L79.7|DISTENSION, ESGUINCE NC MUÑECA / DCH|N
B06454025A|L77.1|DISTENSION, ESGUINCE TOBILLO  IZQUIERDO|N
B00013370A|D14.1|SANG, VOMIT DE (HEMATEMESI)|N
B11388431A|S18.4|CORTE (HERIDA) . QUIRURGICAS|N
B11075484A|K90.48|ACV 2006- HEMIPLEJIA IZDA - INFARTO CEREBRAL|N
B11376764A|L87.3|QUISTE DE   BACKER|N
B09222854A|L14.7|PIERNA  DOLOR|N
B00016001A|D89.6|HERNIA INGUINAL NC-INTERVENIDA|N
B04106766A|S70.1|HERPES ZOSTER CUALQUIER LOC .|N
B02173408A|D98.1012|COLECISTITIS.- COLECISTECTOMIA|N
B03084241A|S98.2|URTICARIA . URGENCIAS|N
B02039922A|P17.19|FUMADOR (20 CIG/DIA)|N
B09230205A|S88.-1|DERMATITIS, NC (URGENCIA)|N
B04247707A|N29.19|PROBLEMA DEAMBULACION NC(DE).|N
B08182954A|K76.12|IAM SUBENDOCARDICO 1993|N
B00053110A|Y16.4|BOTON MAMARIO.|N
B11394822A|R23.2|DISFONIA ++|N
B00062294A|Z16.2|MALOS TRATOS INFANTILES, NO ESPECIFICADOS|N
B02137555A|N80.9|TCE- LEVE.|N
B11373871A|K86.17|.HTA ESENCIAL NO COMPLICADA, HIPERTENSION ARTERIAL|N
B11427144A|L84.29|ESPONDILOARTROSIS  LUMBAR .|N
B02451991A|K76.12|INFARTO CARDIACO 09/2006|N
