cie9_no_dot,ccs_code,ccs_label,ccs_code_lvl1,ccs_label_lvl1,ccs_code_lvl2,ccs_label_lvl2,ccs_code_lvl3,ccs_label_lvl3,ccs_code_lvl4,ccs_label_lvl4,ccs_epichron_label,ccs_vih_label,ccs_epichron_code
01185,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01186,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01190,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01191,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01192,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01193,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01194,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01195,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01196,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01200,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01201,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01202,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01203,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01204,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01205,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01206,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01210,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01211,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01212,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01213,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01214,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01215,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01216,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01220,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01221,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01222,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01223,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01224,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01225,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01226,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01230,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01231,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01232,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01233,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01234,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01235,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01236,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01280,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01281,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01282,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01283,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01284,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01285,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01286,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01300,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01301,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01302,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01303,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01304,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01305,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01306,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01310,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
